name_possible_match,category_possible_match,street_address_possible_match,zip_code_possible_match,name_snap_wic,category_snap_wic,street_address_snap_wic,zip_code_snap_wic,distance,snap_wic_index,possible_match_index,is_match,new_category,closed_possible_match,closed_snap_wic,duplicate_snap_wic
Jai Ho Indian Grocery Store,International Grocery Stores,1462 Fillmore Street,94115,CHARLIES DRUGS,Stores that Accept SNAP/WIC,1101 Fillmore St,94115,364.6993466,137,47,,corner store,,,
Pho Tot,International Grocery Stores, ,,"GUZMAN'S PRODUCE MARKET, INC.",Stores that Accept SNAP/WIC,5229 Mission St,94112,196.9988601,138,329,,supermarket,,,
Arguello Market,Supermarkets,782 Arguello Boulevard,94118,ARGUELLO SUPER MARKET,Stores that Accept SNAP/WIC,782 Arguello Blvd,94118,26.57414521,139,314,x,supermarket,,,
Bus Stop Liquors,Liquor Stores, ,,Bus Stop Liquors and Deli,Stores that Accept SNAP/WIC,2698 San Bruno Ave,94134,10.48624855,140,306,x,corner store,,,
The Market,Supermarkets, ,,DIANA MKT 2,Stores that Accept SNAP/WIC,282 9th St,94103,524.0086353,141,350,,Liquor Store,,,
Local Mission Market,Supermarkets, ,,New Hampshire Market,Stores that Accept SNAP/WIC,2701 20th St,94110,618.7923113,142,348,,corner store,,,
AA Market,Liquor Stores,667 Broderick Street,94117,Divisidero Farmers' Market,Stores that Accept SNAP/WIC,1326 Grove St,94117,148.5558992,143,262,,Farmers Market,,,
Snack & Bottle Shop,Liquor Stores,644 Persia Avenue,94112,M & M Short Stop,Stores that Accept SNAP/WIC,2145A Geneva Ave,94134,1596.571672,144,294,,Liquor Store,,,
Sonoma Market,Liquor Stores, ,,Sonoma Liquors Co,Stores that Accept SNAP/WIC,65 6th St,94103,13.15652177,145,282,x,Liquor Store,,,
Dave's Food Store,Liquor Stores,1601 20th Street,94107,THE GOOD LIFE GROCERY,Stores that Accept SNAP/WIC,1524 20th St,94107,53.78503012,146,279,,supermarket,,,
Oak Gourmet,Corner Stores, ,,HAYES MARKET,Stores that Accept SNAP/WIC,698 Hayes St,94102,230.436327,147,138,,corner store,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,KANSAS FOOD MARKET,Stores that Accept SNAP/WIC,2250 23rd St,94107,434.8765303,148,140,,corner store,,,
Himalaya Plaza,International Grocery Stores, Haight Street,,O'LOONEY'S MARKET,Stores that Accept SNAP/WIC,588 Haight St,94117,9.099488635,149,33,,corner store,,,
Woerners,Liquor Stores, ,,Bread & Butter Market,Stores that Accept SNAP/WIC,888 O'Farrell St,94109,121.1648604,150,287,,corner store,,,
Casa Maria,International Grocery Stores, ,,Ed & Danny's Mkt,Stores that Accept SNAP/WIC,999 S Van Ness Ave,94110,372.9046979,151,349,,corner store,,,
Chevron Extra Mile,Corner Stores,2399 Market Street,94114,17TH AND NOE MARKET,Stores that Accept SNAP/WIC,3900 17th St,94114,132.53677,152,72,,corner store,,,
Village Market,Corner Stores, ,,FERRY PLAZA FARMERS MARKET-CUESA,Stores that Accept SNAP/WIC,1 Ferry Building,94111,58.56918151,153,14,,Farmers Market,,,
City Produce,Supermarkets, ,,FREDS LIQUOR & GROCERY,Stores that Accept SNAP/WIC,151 6th St,94103,61.17280772,154,379,,corner store,,,
Grocery Outlet,Supermarkets,1245 South Van Ness Avenue,94110,The Mission Grocery Outlet 306,Stores that Accept SNAP/WIC,1245 S Van Ness Ave,94110,37.18333272,155,322,x,supermarket,,,
The Epicurean Trader,Liquor Stores,1909 Union Street,94123,Chevron 1712,Stores that Accept SNAP/WIC,1790 Lombard St,94123,327.9664787,156,307,,corner store,,,
Mike's Discount Liquors,Liquor Stores, ,,Cordova Market,Stores that Accept SNAP/WIC,301 Rolph St,94112,564.63373,157,243,,corner store,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,Tonys Market And Liquor,Stores that Accept SNAP/WIC,2751 24th St,94110,71.96969025,158,140,,corner store,,,
Mike's Discount Liquors,Liquor Stores, ,,Geneva Snack Store,Stores that Accept SNAP/WIC,901 Geneva Ave,94112,89.23424358,159,243,,corner store,,,
Food Mart,Corner Stores, ,,Portola Grocery Outlet,Stores that Accept SNAP/WIC,1390 Silver Ave,94134,270.1472021,160,35,,supermarket,,,
Reno's,Liquor Stores,728 22nd Street,94107,Potrero Shell 159,Stores that Accept SNAP/WIC,2890 3rd St,94107,549.8886803,161,249,,corner store,,,
Island Market & Deli,Corner Stores, ,,Island Cove Market Inc,Stores that Accept SNAP/WIC,800 Avenue H,94130,1048.530179,162,169,x,corner store,,,
Chuck's Sun Valley Grocery,Corner Stores,1601 Church Street,,Church Produce,Stores that Accept SNAP/WIC,1798 Church St,94131,333.5969806,163,81,,corner store,,,
Pacific Super,International Grocery Stores, ,,Chevron 1727,Stores that Accept SNAP/WIC,2998 San Jose Ave,94112,243.6745527,164,335,,corner store,,,
ampm,Corner Stores, ,,Woody's Liquor And Grocery,Stores that Accept SNAP/WIC,5799 Mission St,94112,227.3224849,165,56,,corner store,,,
